Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",Latitude,Longitude,Provider_Name_1,Provider_Name_2,Provider_Name_3,Provider_Name_4,Provider_Name_5,Provider_Name_6,Provider_Name_7,Provider_Name_8,Provider_Name_9,Provider_Name_10
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10454.0,2,100.0,68.5,59.5,68.9,66.5,65.3,67.5,19.5,6.0,0.0,99.8,0.1,99.7,525.0,727.0,72.21,85.15,81.38,88.67,2.0,23.0,471.0,4.88,3.98,3.03,5.32,1.0,34.0,301.0,11.3,7.53,5.77,9.69,2.0,1.09,1125.0,26.1269643,-80.2036223,-0.023609376,-0.033201694,0.049423277,0.025054347,-0.0482404,0.047665022,-0.005810407,-0.04760074,-0.03789981,-0.017521713
4.0,1.0,1.0,1.0,1.0,1.0,1.0,12189.0,4,95.7,79.2,86.7,87.4,88.6,90.4,84.3,6.3,10.4,0.0,98.9,0.4,99.3,299.0,407.0,73.46,80.32,75.75,84.74,1.0,7.0,211.0,3.32,3.74,2.65,5.1,1.0,15.0,177.0,8.47,8.03,5.63,11.41,1.0,1.0,644.0,28.9084994,-81.9762075,-0.016444415,0.031373,-0.014808697,0.036835827,-0.029982328,0.04278936,-0.044452317,0.022387618,-0.027592326,0.034244042
4.0,1.0,1.0,1.0,1.0,1.0,1.0,12046.0,4,99.4,73.8,89.9,88.5,88.3,99.0,86.0,12.5,10.5,0.0,97.6,1.2,100.0,55.0,86.0,63.95,72.95,61.58,82.82,1.0,1.0,33.0,3.03,3.86,2.54,5.77,1.0,3.0,35.0,8.57,9.12,5.35,14.62,1.0,1.12,146.0,30.1659662,-84.378559,-0.046505168,-0.033635195,-0.0038977296,-0.034747653,0.045711465,0.047284544,3.6364792e-05,0.03809328,-0.0094026,0.013178003
6.0,1.0,1.0,1.0,1.0,1.0,1.0,11870.0,4,98.6,78.9,87.1,88.8,89.9,92.1,84.4,13.4,7.6,0.7,98.8,0.3,100.0,456.0,570.0,80.0,87.5,83.62,90.48,2.0,22.0,373.0,5.9,4.36,3.22,5.79,1.0,21.0,285.0,7.37,7.07,5.17,9.6,2.0,0.93,722.0,28.5268232,-82.5557667,0.027013982,-0.046416372,-0.001443544,0.009157437,0.032451797,-0.030597717,-0.004454234,0.032577418,0.020598859,-0.008967313
7.0,1.0,1.0,1.0,1.0,0.0,1.0,11490.0,4,94.9,53.2,83.8,91.4,87.3,84.0,91.1,11.0,14.0,0.0,96.3,0.3,99.0,877.0,1132.0,77.47,85.73,83.05,88.35,2.0,28.0,653.0,4.29,4.04,3.11,5.19,1.0,32.0,389.0,8.23,7.19,5.42,9.33,2.0,0.95,1445.0,25.6537448,-80.4003607,-0.010003442,0.015356427,-0.023085695,0.033920668,0.04875521,0.028003609,0.04770437,-0.03572729,-0.009030094,-0.033307634
7.0,1.0,1.0,1.0,1.0,0.0,1.0,11083.0,4,99.5,88.2,87.9,89.4,87.9,90.0,86.0,15.1,10.2,0.4,99.8,0.5,99.8,430.0,549.0,78.32,88.84,84.88,92.08,2.0,19.0,388.0,4.9,4.14,3.02,5.39,1.0,41.0,338.0,12.13,9.28,7.24,11.48,1.0,1.0,770.0,28.5451501,-81.7271104,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
4.0,1.0,1.0,1.0,1.0,1.0,0.0,10625.0,4.5,98.5,62.0,87.5,94.4,90.2,95.9,85.1,12.7,11.2,0.2,99.6,0.6,99.8,380.0,503.0,75.55,80.13,75.84,83.67,1.0,10.0,230.0,4.35,4.14,3.01,5.87,1.0,23.0,258.0,8.91,8.73,6.01,11.83,1.0,1.01,691.0,27.0100463,-82.1422515,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10308.0,4,99.3,68.3,88.5,91.8,89.3,93.9,85.9,15.1,11.7,0.1,92.6,0.9,98.2,947.0,1205.0,78.59,84.48,82.1,86.88,2.0,8.0,364.0,2.2,3.34,2.44,4.63,1.0,61.0,668.0,9.13,8.92,6.92,10.92,1.0,1.09,1986.0,29.1713709,-82.1334586,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10308.0,5,99.5,73.6,94.6,92.4,98.2,90.8,90.9,11.4,14.6,0.0,99.5,1.2,99.8,294.0,398.0,73.87,83.56,78.79,88.6,2.0,5.0,193.0,2.59,3.51,2.57,4.82,1.0,26.0,255.0,10.2,8.06,5.93,10.76,1.0,0.99,592.0,29.6463407,-81.6928015,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
4.0,1.0,1.0,1.0,0.0,1.0,0.0,10188.0,4.5,99.8,98.7,93.3,92.8,91.5,95.4,93.3,16.2,12.5,0.0,100.0,0.7,99.8,381.0,553.0,68.9,75.9,71.8,79.88,1.0,4.0,190.0,2.11,3.48,2.42,5.09,1.0,24.0,332.0,7.23,7.09,5.02,9.68,2.0,1.16,860.0,27.6321378,-80.3924166,-0.046505168,-0.033635195,-0.0038977296,-0.034747653,0.045711465,0.047284544,3.6364792e-05,0.03809328,-0.0094026,0.013178003
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10239.0,3.5,99.3,89.1,85.9,88.1,87.6,90.7,88.3,17.8,9.9,0.1,98.2,0.5,99.9,810.0,1089.0,74.38,82.28,79.66,84.85,2.0,22.0,406.0,5.42,4.46,3.22,6.06,1.0,54.0,450.0,12.0,10.26,8.19,12.77,1.0,1.11,2047.0,27.9807988,-82.3395437,0.035092033,-0.048927642,-0.04914262,-0.01823678,-0.049937688,0.0009689808,-0.014028937,0.00584538,0.043610584,-0.0300003
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10153.0,4.5,99.9,86.9,87.2,90.8,91.3,88.4,93.5,14.0,10.3,0.2,96.9,1.5,99.0,603.0,793.0,76.04,79.69,76.56,82.66,1.0,7.0,226.0,3.1,3.72,2.62,5.16,1.0,56.0,673.0,8.32,9.24,7.2,11.48,1.0,1.14,1076.0,27.0797866,-82.4233381,-0.016444415,0.031373,-0.014808697,0.036835827,-0.029982328,0.04278936,-0.044452317,0.022387618,-0.027592326,0.034244042
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10069.0,4.5,98.9,68.8,88.0,89.1,89.5,95.3,85.4,9.9,11.4,0.0,97.8,0.9,99.8,267.0,357.0,74.79,82.38,77.56,86.86,2.0,3.0,165.0,1.82,3.52,2.46,5.09,1.0,21.0,205.0,10.24,9.28,6.64,12.83,1.0,0.96,531.0,26.5135327,-80.0796397,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10044.0,4,99.5,72.7,89.4,85.0,88.8,85.1,76.1,12.0,8.3,0.0,98.8,1.5,99.3,911.0,1144.0,79.63,84.18,81.94,86.57,2.0,7.0,240.0,2.92,3.77,2.67,5.39,1.0,48.0,716.0,6.7,7.36,5.76,9.41,2.0,1.09,1594.0,28.2104359,-82.6791456,0.015299166,-0.011578163,0.048269846,-0.040454887,-0.030003387,-0.04327559,-0.028418785,0.0038568855,-0.0008574426,-0.024010684
7.0,1.0,1.0,1.0,1.0,1.0,1.0,10111.0,3,97.4,85.0,78.2,74.7,75.7,91.1,61.7,8.9,13.7,0.0,96.1,0.7,100.0,132.0,162.0,81.48,83.48,76.88,88.79,2.0,1.0,65.0,1.54,3.75,2.56,5.39,1.0,2.0,47.0,4.26,8.61,4.87,14.82,1.0,1.0,183.0,28.9448321,-81.285691,0.02962172,0.020448202,-0.02645607,-0.041901458,0.044412345,-0.023755062,-0.02815776,-0.04452131,0.03476575,-0.042065233
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10058.0,4.5,100.0,50.6,88.5,89.3,88.9,89.1,84.6,10.0,17.3,0.0,99.0,0.8,100.0,369.0,480.0,76.88,81.95,78.26,85.48,2.0,9.0,229.0,3.93,3.93,2.85,5.36,1.0,31.0,281.0,11.03,10.78,8.37,14.11,1.0,1.01,750.0,30.7376541,-86.564241,-0.009049013,-0.0015861869,0.034208626,-0.004832444,-0.035075817,-0.0003859371,-0.03946904,0.0032895089,0.038807034,0.01563859
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10027.0,4.5,99.8,81.8,93.1,91.9,94.1,89.0,91.1,11.7,7.7,0.0,97.3,1.6,99.5,360.0,479.0,75.16,83.85,79.29,87.91,2.0,12.0,194.0,6.19,4.49,3.28,6.41,1.0,30.0,240.0,12.5,10.44,7.91,14.29,1.0,1.05,869.0,27.9624458,-82.7238818,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
4.0,1.0,1.0,1.0,1.0,1.0,0.0,9974.0,4.5,94.9,56.3,90.9,91.4,92.0,95.5,96.6,13.5,8.6,0.0,98.4,1.2,99.3,630.0,790.0,79.75,85.32,82.23,88.17,2.0,10.0,416.0,2.4,3.49,2.57,4.74,1.0,49.0,389.0,12.6,12.8,10.12,15.84,0.0,1.14,1494.0,27.4964464,-82.5036663,-0.010003442,0.015356427,-0.023085695,0.033920668,0.04875521,0.028003609,0.04770437,-0.03572729,-0.009030094,-0.033307634
4.0,1.0,1.0,1.0,1.0,1.0,1.0,9960.0,5,99.4,53.3,96.0,94.8,95.2,99.5,93.8,15.1,10.0,0.1,98.2,0.6,99.0,737.0,1053.0,69.99,76.67,73.53,79.43,1.0,11.0,376.0,2.93,3.58,2.64,4.94,1.0,43.0,452.0,9.51,8.64,6.71,10.98,1.0,1.0,1690.0,26.9816349,-82.0960638,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,9805.0,4,100.0,56.1,89.1,85.5,88.2,91.3,86.4,16.7,11.9,0.0,97.4,2.1,100.0,79.0,87.0,90.8,94.03,85.74,99.25,2.0,0.0,25.0,0.0,3.76,2.61,5.51,1.0,0.0,45.0,0.0,7.09,4.09,12.01,1.0,0.97,152.0,29.0622026,-82.0648499,0.0025266588,0.011903507,0.042472363,0.035108976,0.01633426,-0.03295951,0.026827771,-0.00884037,0.037971765,-0.032739352
4.0,1.0,1.0,1.0,1.0,1.0,0.0,9665.0,4.5,99.2,76.3,95.7,91.8,98.4,92.2,96.5,14.7,8.4,0.1,99.5,0.8,100.0,561.0,781.0,71.83,80.52,76.74,83.82,2.0,13.0,250.0,5.2,4.12,2.99,5.5,1.0,58.0,433.0,13.39,11.43,9.04,14.32,1.0,0.99,1617.0,27.9645141,-82.3296973,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
5.0,1.0,1.0,1.0,1.0,1.0,1.0,9286.0,4.5,99.9,57.2,88.0,88.4,90.6,95.7,88.2,14.1,12.9,0.0,99.3,0.6,99.0,635.0,777.0,81.72,87.79,84.82,90.56,2.0,9.0,341.0,2.64,3.59,2.55,5.12,1.0,38.0,403.0,9.43,9.28,7.28,11.97,1.0,1.07,1271.0,27.3165132,-80.4054979,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
4.0,1.0,1.0,1.0,1.0,1.0,1.0,9165.0,4.5,99.3,75.0,90.8,88.9,95.8,96.2,92.6,12.7,9.3,0.4,97.7,1.8,100.0,719.0,842.0,85.39,88.17,85.85,90.38,2.0,5.0,237.0,2.11,3.45,2.37,4.87,1.0,39.0,438.0,8.9,10.27,8.03,13.15,1.0,1.07,1395.0,29.2622997,-81.0836148,-0.04209276,-0.03701528,0.0267273,-0.026733119,-0.04310028,0.007692218,-0.007181728,0.026971888,-0.041245278,-0.034703165
7.0,1.0,1.0,1.0,1.0,1.0,1.0,8776.0,4,98.6,60.9,88.6,87.6,94.6,78.5,83.5,14.9,10.1,0.0,99.1,1.0,99.8,1203.0,1411.0,85.26,88.02,86.07,90.02,2.0,11.0,292.0,3.77,3.78,2.76,5.03,1.0,50.0,720.0,6.94,8.13,6.44,10.48,1.0,1.0,1844.0,28.5261877,-82.5553361,0.015299166,-0.011578163,0.048269846,-0.040454887,-0.030003387,-0.04327559,-0.028418785,0.0038568855,-0.0008574426,-0.024010684
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8480.0,5,99.9,96.3,94.0,94.3,100.0,95.0,100.0,15.3,12.7,0.2,99.7,0.3,99.9,788.0,1054.0,74.76,79.36,76.76,81.93,2.0,13.0,239.0,5.44,4.41,3.16,6.06,1.0,73.0,737.0,9.91,10.99,8.95,13.37,1.0,1.22,1475.0,27.8984567,-82.7143968,0.034650993,-0.0060192407,0.03518595,0.0072634937,0.00831334,-0.03195727,-0.031779658,-0.044275437,-0.031645834,-0.012822723
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8424.0,3,97.5,91.8,87.0,82.8,89.0,79.7,77.6,12.3,6.6,0.0,98.1,1.3,97.5,367.0,427.0,85.95,89.27,85.11,92.13,2.0,5.0,110.0,4.55,4.01,2.79,5.83,1.0,5.0,144.0,3.47,7.12,4.35,11.55,1.0,1.02,620.0,26.2072302,-80.150069,0.0152427675,-0.025953103,0.042082675,0.01734813,-0.042705815,0.007895643,-0.040569764,0.03857718,0.007268548,-0.028333282
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8409.0,4.5,97.6,70.6,88.0,90.9,93.4,90.8,89.9,12.1,9.2,0.4,98.9,0.8,99.5,1147.0,1413.0,81.17,85.33,82.99,87.43,2.0,16.0,624.0,2.56,3.48,2.64,4.61,1.0,55.0,634.0,8.68,9.44,7.59,11.63,1.0,1.06,1936.0,26.539538,-81.8439056,-0.004886389,-0.027007068,0.02949584,-0.049607255,-0.0108027635,0.038916886,-0.04612064,0.0054210126,-0.013096163,-0.018284762
7.0,1.0,1.0,1.0,1.0,1.0,1.0,8370.0,4,98.8,63.9,86.9,87.8,89.6,87.8,82.4,14.1,10.3,0.5,96.1,1.2,99.2,853.0,1034.0,82.5,88.93,86.32,91.39,2.0,11.0,586.0,1.88,3.15,2.3,4.29,1.0,35.0,529.0,6.62,6.85,5.28,8.85,2.0,1.05,1223.0,28.310488,-80.721205,0.038131285,-0.030373668,0.0153884115,-0.03625978,0.018756544,-0.010258841,-0.03306545,-0.04087285,0.04064905,0.02199608
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8347.0,3.5,100.0,66.2,85.4,86.8,88.4,87.6,87.1,17.4,12.0,0.0,99.4,1.4,100.0,243.0,336.0,72.32,81.44,75.52,86.47,1.0,9.0,144.0,6.25,4.28,3.0,5.97,1.0,20.0,155.0,12.9,10.75,7.57,15.08,1.0,1.15,464.0,30.4745737,-84.2384993,0.034650993,-0.0060192407,0.03518595,0.0072634937,0.00831334,-0.03195727,-0.031779658,-0.044275437,-0.031645834,-0.012822723
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8328.0,5,100.0,72.8,97.4,93.8,93.5,96.0,96.5,13.4,10.7,0.3,95.8,0.5,98.0,189.0,305.0,61.97,68.98,63.67,74.63,0.0,2.0,80.0,2.5,3.76,2.65,5.42,1.0,13.0,167.0,7.78,7.83,5.46,11.42,1.0,1.09,798.0,25.7837095,-80.2966738,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
7.0,1.0,1.0,1.0,1.0,1.0,1.0,8255.0,3.5,100.0,76.1,72.9,87.8,83.7,77.3,84.4,8.7,10.1,0.0,100.0,1.6,100.0,216.0,267.0,80.9,89.36,84.01,93.83,2.0,3.0,82.0,3.66,3.86,2.61,5.7,1.0,7.0,119.0,5.88,7.19,4.37,11.07,1.0,1.15,376.0,26.4597018,-80.1182691,-0.044713337,0.04440554,-0.024005681,0.04805548,0.0011416912,-0.047145218,-0.041258425,0.0013016164,0.042903893,0.006568742
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8237.0,4.5,98.2,71.7,93.6,93.7,94.3,99.3,93.7,18.5,10.6,0.0,99.4,0.2,99.0,390.0,620.0,62.9,68.5,64.68,71.89,0.0,6.0,209.0,2.87,3.57,2.53,5.03,1.0,37.0,273.0,13.55,11.43,8.89,14.95,1.0,0.98,910.0,28.6755052,-81.4197855,-0.016444415,0.031373,-0.014808697,0.036835827,-0.029982328,0.04278936,-0.044452317,0.022387618,-0.027592326,0.034244042
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8097.0,4.5,99.3,54.5,89.2,89.1,93.0,94.0,91.5,12.9,10.6,0.0,99.6,0.2,100.0,276.0,362.0,76.24,82.66,78.16,86.84,2.0,7.0,108.0,6.48,4.29,3.06,5.81,1.0,28.0,216.0,12.96,11.55,8.26,15.68,1.0,1.0,614.0,26.0643127,-80.2473355,-0.030076677,-0.010584747,-0.010708529,0.036135484,-0.008633951,-0.036685187,-0.03271528,0.034760706,0.02094608,0.045479894
5.0,1.0,1.0,1.0,1.0,1.0,1.0,8024.0,5,99.7,86.7,92.5,100.0,94.8,89.2,90.3,7.5,9.4,0.5,99.7,1.0,100.0,209.0,258.0,81.01,86.96,81.91,91.33,2.0,0.0,35.0,0.0,3.69,2.49,5.45,1.0,16.0,127.0,12.6,12.5,8.76,18.34,1.0,1.05,652.0,28.1025342,-82.7719188,0.039666563,-0.025068978,-0.012593004,0.0011227012,-0.018921077,-0.04099728,0.022324359,-0.005283934,0.019480592,-0.010782724
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8018.0,5,100.0,49.4,100.0,99.9,96.8,94.0,92.5,14.1,10.8,0.2,96.4,0.4,99.8,357.0,456.0,78.29,86.94,82.75,90.6,2.0,8.0,206.0,3.88,3.85,2.78,5.37,1.0,33.0,277.0,11.91,10.03,7.65,13.11,1.0,1.05,782.0,30.24639,-81.55051,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
4.0,1.0,1.0,1.0,1.0,1.0,1.0,8011.0,4,100.0,59.6,89.7,90.5,90.5,91.6,88.4,17.7,8.7,0.4,99.2,0.8,99.6,700.0,901.0,77.69,82.22,79.59,84.85,2.0,10.0,307.0,3.26,3.62,2.57,4.96,1.0,40.0,437.0,9.15,9.92,7.51,12.64,1.0,0.95,1625.0,28.8924125,-82.5513962,-0.03664278,-0.027341366,0.03436789,0.033082277,0.010900843,-0.04763188,-0.03153395,-0.038807694,0.044107318,-0.0065386323
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7936.0,5,99.8,81.6,90.3,89.1,97.0,95.5,94.9,13.5,9.0,0.0,97.9,0.9,100.0,312.0,407.0,76.66,83.18,78.95,87.21,2.0,6.0,152.0,3.95,3.88,2.8,5.54,1.0,27.0,203.0,13.3,11.83,8.7,16.32,1.0,1.09,773.0,28.263788,-82.6734186,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7894.0,3.5,96.9,79.5,80.4,83.6,85.7,85.6,80.9,13.7,7.6,0.6,99.7,0.4,99.6,361.0,444.0,81.31,83.15,79.92,86.57,2.0,2.0,91.0,2.2,3.73,2.47,5.43,1.0,16.0,278.0,5.76,7.69,5.49,10.87,1.0,0.96,490.0,30.2279035,-81.5811957,-0.021887312,0.018845778,0.03671627,-0.013182146,0.027431136,-0.0009733558,-0.037667498,-0.033615418,-0.046747632,-0.0090301605
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7913.0,2.5,96.2,62.3,78.8,80.0,84.6,87.6,79.4,20.1,16.1,0.3,95.9,0.0,99.5,157.0,211.0,74.41,82.28,75.72,87.87,1.0,4.0,81.0,4.94,3.99,2.79,5.65,1.0,21.0,112.0,18.75,13.92,10.04,19.02,0.0,1.06,306.0,30.4382852,-81.7101552,-0.04209276,-0.03701528,0.0267273,-0.026733119,-0.04310028,0.007692218,-0.007181728,0.026971888,-0.041245278,-0.034703165
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7844.0,3.5,92.9,79.5,86.1,88.1,88.9,90.3,86.1,16.8,13.5,0.0,97.5,0.5,99.7,373.0,493.0,75.66,82.17,77.83,85.51,2.0,6.0,140.0,4.29,3.94,2.73,5.63,1.0,33.0,285.0,11.58,10.93,7.99,14.21,1.0,1.03,646.0,28.6062017,-81.3754752,-0.021887312,0.018845778,0.03671627,-0.013182146,0.027431136,-0.0009733558,-0.037667498,-0.033615418,-0.046747632,-0.0090301605
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7836.0,4,100.0,70.5,85.4,86.8,90.3,95.9,81.8,15.9,10.5,0.0,100.0,1.5,100.0,457.0,534.0,85.58,83.04,80.13,85.38,2.0,2.0,226.0,0.88,3.65,2.53,5.55,1.0,14.0,209.0,6.7,10.25,6.7,15.64,1.0,0.98,575.0,28.3311671,-80.725816,-0.021887312,0.018845778,0.03671627,-0.013182146,0.027431136,-0.0009733558,-0.037667498,-0.033615418,-0.046747632,-0.0090301605
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7808.0,3.5,98.3,79.9,83.8,83.7,89.2,88.8,86.4,13.6,14.4,0.0,99.2,0.6,100.0,549.0,664.0,82.68,83.77,80.52,86.47,2.0,9.0,161.0,5.59,4.46,3.1,6.48,1.0,23.0,317.0,7.26,9.55,6.79,12.96,1.0,0.92,996.0,30.275885,-81.828026,0.041515492,-0.048019517,-0.02958641,0.0125504015,-0.03428728,0.04369075,-0.007039073,0.014239413,-0.025050526,-0.009587353
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7752.0,4.5,100.0,63.8,93.5,90.1,93.3,88.0,94.0,17.7,11.7,0.0,99.1,0.6,99.8,410.0,508.0,80.71,88.77,84.73,92.11,2.0,12.0,259.0,4.63,4.08,3.03,5.59,1.0,34.0,249.0,13.65,11.75,9.23,15.18,1.0,1.07,756.0,29.1576562,-82.1683676,-0.036150806,0.049217332,-0.00833717,-0.032676686,-0.010924014,0.005822277,-0.038924117,-0.04517386,0.008240777,-0.0088702645
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7718.0,3.5,98.6,64.2,86.2,86.6,86.5,88.6,83.8,15.5,10.6,0.0,96.0,0.6,99.4,385.0,518.0,74.32,85.02,80.26,88.87,2.0,16.0,338.0,4.73,4.11,3.04,5.45,1.0,32.0,265.0,12.08,9.85,7.51,13.05,1.0,1.07,713.0,27.7635066,-82.6437924,-0.016890366,-0.045374077,0.03255821,0.02621215,-0.038073532,-0.03810773,-0.023122469,0.0438058,0.037395693,0.049810052
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7675.0,4.5,100.0,72.7,91.1,98.3,95.0,77.0,87.3,11.9,9.7,0.7,100.0,0.6,100.0,207.0,236.0,87.71,92.04,87.06,95.97,2.0,1.0,43.0,2.33,3.75,2.57,5.35,1.0,12.0,133.0,9.02,9.66,6.56,14.56,1.0,0.98,334.0,26.717659,-80.091772,-0.022810888,0.04964652,-0.049797952,0.00947026,0.006040937,-0.032708168,-0.04589703,-0.036139168,-0.039415926,-0.043853547
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7578.0,3,100.0,73.2,70.2,79.8,76.9,83.9,75.1,15.1,6.9,0.3,99.1,0.0,100.0,240.0,293.0,81.91,84.18,79.75,88.46,2.0,4.0,60.0,6.67,4.21,2.85,6.14,1.0,7.0,176.0,3.98,6.96,4.32,10.71,1.0,0.93,561.0,25.9109051,-80.2955945,0.021785159,-0.028252017,-0.016208276,-0.02038214,0.044713087,0.014917177,0.03970974,0.0009707093,-0.011483988,0.02396146
6.0,1.0,1.0,1.0,1.0,1.0,1.0,7542.0,5,100.0,71.3,100.0,99.0,100.0,87.9,100.0,12.7,10.2,0.0,99.7,1.9,98.6,683.0,904.0,75.55,85.67,82.4,88.81,2.0,10.0,293.0,3.41,3.61,2.57,4.88,1.0,47.0,544.0,8.64,7.48,5.87,9.46,2.0,1.2,1388.0,27.7107608,-82.3526809,0.009225344,0.0039069057,0.011231166,0.024430275,-0.04000315,0.014181798,-0.036842894,-0.042368934,-0.026364869,0.019403595
4.0,1.0,1.0,1.0,1.0,1.0,1.0,7530.0,3,96.8,93.5,82.7,82.3,81.6,88.8,81.4,14.0,6.5,0.0,97.3,0.0,100.0,370.0,523.0,70.75,74.78,70.6,78.34,1.0,3.0,107.0,2.8,3.69,2.51,5.39,1.0,28.0,274.0,10.22,11.04,8.31,15.34,1.0,1.07,1391.0,26.0526642,-80.2512516,0.04725973,-0.042996477,0.048160978,0.020076852,-0.04709414,-0.019869301,-0.026033804,0.023040986,-0.03662748,0.011788011
4.0,1.0,1.0,0.0,0.0,1.0,0.0,7515.0,4,99.3,66.7,87.6,90.9,87.1,89.4,83.2,17.4,11.8,0.0,95.9,1.4,100.0,383.0,469.0,81.66,92.18,87.88,95.81,2.0,5.0,244.0,2.05,3.31,2.33,4.59,1.0,28.0,230.0,12.17,9.47,7.03,13.03,1.0,1.03,754.0,28.0227554,-81.7259645,-0.017746031,0.042242926,-0.0024647086,-0.038275696,0.0035715164,0.020268261,0.022711247,-0.00086114404,-0.042647008,0.01138742
4.0,1.0,1.0,0.0,1.0,1.0,1.0,7438.0,3.5,99.2,79.4,84.5,86.6,82.7,80.3,76.3,12.0,12.5,0.0,97.4,1.1,98.5,519.0,694.0,74.78,80.69,77.26,83.73,2.0,7.0,214.0,3.27,3.76,2.69,5.18,1.0,48.0,338.0,14.2,13.43,10.41,16.55,0.0,1.03,1158.0,30.1903051,-85.6560906,0.001014179,-0.022046011,0.021815026,-0.008405486,0.009984148,-0.04295779,-0.038499646,0.043752283,0.049337775,0.046624623
