Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",Latitude,Longitude,Provider_Name_1,Provider_Name_2,Provider_Name_3,Provider_Name_4,Provider_Name_5,Provider_Name_6,Provider_Name_7,Provider_Name_8,Provider_Name_9,Provider_Name_10
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14478.0,4.5,99.8,66.8,91.6,92.5,91.9,91.2,92.4,15.0,11.0,0.1,98.0,0.7,99.2,985.0,1253.0,78.61,83.24,80.8,85.45,2.0,17.0,565.0,3.01,3.69,2.76,4.99,1.0,59.0,709.0,8.32,8.84,7.15,11.13,1.0,0.99,1697.0,33.4665247,-86.7794077,-0.026110072,0.043681294,-0.046161227,-0.04919569,-0.04189693,0.045356117,0.027124632,-0.012697431,-0.037984185,0.0020205677
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14367.0,4,99.9,91.3,84.8,85.9,86.2,88.5,79.8,13.6,13.3,0.0,98.0,1.6,100.0,721.0,844.0,85.43,85.96,83.48,88.19,2.0,10.0,363.0,2.75,3.94,2.81,5.34,1.0,42.0,471.0,8.92,10.45,7.93,13.32,1.0,1.01,1454.0,30.4143656,-87.6848072,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14383.0,4.5,99.7,69.3,97.9,96.0,94.0,86.9,93.4,15.6,11.8,0.4,97.5,0.6,99.0,399.0,556.0,71.76,80.3,76.01,84.0,1.0,6.0,195.0,3.08,3.59,2.53,5.06,1.0,31.0,333.0,9.31,8.31,6.35,10.88,1.0,1.02,1002.0,33.4879998,-86.7900122,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14471.0,4,99.7,67.7,91.4,86.7,91.7,85.3,84.7,14.0,9.9,0.1,98.2,0.5,99.8,385.0,509.0,75.64,82.2,77.73,85.62,2.0,5.0,222.0,2.25,3.46,2.42,4.71,1.0,30.0,272.0,11.03,9.78,7.25,12.88,1.0,1.03,790.0,32.4824598,-86.4160746,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14293.0,4,99.4,69.3,90.3,86.2,89.0,94.6,85.2,15.2,7.5,0.2,98.6,0.4,99.8,331.0,484.0,68.39,74.57,70.22,79.06,1.0,6.0,216.0,2.78,3.55,2.5,4.97,1.0,31.0,246.0,12.6,10.84,8.07,14.33,1.0,1.08,872.0,32.3541754,-86.1257166,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,14332.0,4,98.0,77.6,89.6,87.4,89.8,90.3,87.4,16.3,10.9,0.1,97.7,0.5,99.5,773.0,1060.0,72.92,74.85,72.24,77.13,1.0,11.0,358.0,3.07,4.02,2.94,5.39,1.0,76.0,648.0,11.73,12.71,10.52,15.21,0.0,1.06,2174.0,30.6436682,-87.868378,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,13845.0,5,99.6,94.3,96.4,94.9,96.9,95.4,99.0,14.9,9.6,0.0,99.6,1.3,100.0,272.0,419.0,64.92,74.01,68.88,78.5,1.0,8.0,184.0,4.35,3.99,2.9,5.56,1.0,47.0,359.0,13.09,9.81,7.88,12.25,1.0,1.05,929.0,30.6890186,-88.1040041,-0.013575083,-0.03973974,0.0067992746,-0.011114433,0.012703568,0.049929302,-0.0048238994,-0.03585862,0.007698494,0.03719601
4.0,1.0,1.0,1.0,1.0,1.0,1.0,13718.0,4,100.0,62.4,90.2,93.3,93.0,89.9,86.2,19.6,13.3,0.0,98.0,0.6,100.0,248.0,333.0,74.47,81.68,76.46,86.15,1.0,1.0,128.0,0.78,3.34,2.36,4.69,1.0,29.0,210.0,13.81,10.87,8.08,14.2,1.0,0.99,689.0,31.0955563,-88.2387021,0.03318748,-0.046661157,-0.04394909,-0.020577202,0.028528666,-0.0356432,0.028167332,0.03089143,0.023893755,-0.042477876
4.0,1.0,1.0,1.0,0.0,0.0,1.0,13499.0,4.5,99.4,57.1,92.0,89.8,91.9,90.1,90.3,11.3,13.7,0.1,98.1,1.3,98.3,243.0,336.0,72.32,79.09,73.55,83.78,1.0,5.0,124.0,4.03,3.92,2.69,5.47,1.0,18.0,156.0,11.54,10.29,7.34,14.44,1.0,0.96,660.0,31.8452596,-86.6190219,0.014495134,-0.0035063655,-0.048442136,-0.013869804,-0.049948156,-0.043412324,0.031040657,0.031194251,-0.024901018,-0.040338434
4.0,1.0,1.0,1.0,1.0,1.0,1.0,12276.0,4.5,100.0,79.1,90.8,92.5,92.3,88.8,89.1,11.8,7.1,0.0,99.3,0.7,99.0,299.0,392.0,76.28,81.38,76.76,85.24,2.0,3.0,131.0,2.29,3.57,2.51,5.18,1.0,30.0,219.0,13.7,12.74,9.4,16.77,1.0,1.03,798.0,33.2614586,-88.0954727,0.009951579,-0.029374385,-0.00949569,-0.01885203,0.012130285,0.02151978,-0.02712952,0.01671021,0.0005103707,0.00016921162
