Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,1,1,1,1,1,5.0,99.6,94.3,96.4,94.9,96.9,95.4,99.0,14.9,9.6,0.0,99.6,1.3,100.0,272.0,419.0,64.92,74.01,68.88,78.5,8.0,184.0,4.35,3.99,2.9,5.56,47.0,359.0,13.09,9.81,7.88,12.25,1.05,929.0
1,1,1,1,1,1,4.0,100.0,62.4,90.2,93.3,93.0,89.9,86.2,19.6,13.3,0.0,98.0,0.6,100.0,248.0,333.0,74.47,81.68,76.46,86.15,1.0,128.0,0.78,3.34,2.36,4.69,29.0,210.0,13.81,10.87,8.08,14.2,0.99,689.0
1,1,1,0,0,1,4.5,99.4,57.1,92.0,89.8,91.9,90.1,90.3,11.3,13.7,0.1,98.1,1.3,98.3,243.0,336.0,72.32,79.09,73.55,83.78,5.0,124.0,4.03,3.92,2.69,5.47,18.0,156.0,11.54,10.29,7.34,14.44,0.96,660.0
1,1,1,1,1,1,4.5,100.0,79.1,90.8,92.5,92.3,88.8,89.1,11.8,7.1,0.0,99.3,0.7,99.0,299.0,392.0,76.28,81.38,76.76,85.24,3.0,131.0,2.29,3.57,2.51,5.18,30.0,219.0,13.7,12.74,9.4,16.77,1.03,798.0
1,1,0,1,0,1,4.0,99.1,55.1,90.6,87.6,88.8,86.9,88.1,14.1,13.8,0.0,98.7,2.6,99.6,149.0,206.0,72.33,76.3,69.96,82.35,2.0,83.0,2.41,3.77,2.52,5.53,20.0,114.0,17.54,14.52,9.86,21.11,1.04,687.0
1,1,1,1,1,1,3.5,99.4,79.4,85.9,81.4,87.2,89.1,76.5,16.9,7.7,0.2,99.5,0.2,99.8,586.0,749.0,78.24,84.46,81.36,87.4,10.0,327.0,3.06,3.51,2.5,4.83,34.0,363.0,9.37,9.75,7.35,12.69,0.94,1037.0
1,1,1,1,1,1,4.5,100.0,96.3,93.4,90.5,92.1,96.5,89.7,18.4,18.2,0.0,99.1,0.3,99.5,163.0,224.0,72.77,83.18,76.26,89.01,3.0,109.0,2.75,3.64,2.43,5.15,18.0,146.0,12.33,9.53,6.66,13.24,1.0,480.0
1,1,1,1,1,1,4.5,100.0,57.1,89.6,91.8,87.9,89.8,85.0,13.5,13.5,0.0,91.0,0.5,100.0,335.0,407.0,82.31,91.38,86.83,95.2,5.0,220.0,2.27,3.4,2.51,4.9,25.0,239.0,10.46,9.93,7.4,13.59,1.07,724.0
1,1,1,1,1,1,4.0,98.6,63.2,94.5,87.4,87.8,97.5,84.3,11.7,14.4,0.7,95.7,0.6,100.0,208.0,253.0,82.21,83.49,78.03,87.33,2.0,56.0,3.57,3.8,2.7,5.41,9.0,115.0,7.83,10.05,6.55,15.26,0.84,533.0
1,1,1,1,1,1,5.0,100.0,72.6,95.4,94.5,89.9,94.6,94.4,12.2,10.8,0.6,99.6,2.4,100.0,257.0,321.0,80.06,87.3,82.52,92.03,5.0,140.0,3.57,3.78,2.58,5.22,21.0,195.0,10.77,10.02,7.03,13.88,0.95,744.0
